"hour","location","rate","null","resp_time","social"
"","","","43.70493611,-72.28874546","1364121909",""
"","","","43.70634601,-72.2882174","1364121913",""
"","","","5","1364121936",""
"","","","8","1364121911",""
"","","","3","1364118426",""
"","","","1","1364121912",""
"9","43.70651948,-72.28796088","1","","1364775626","1"
"7","43.70433137,-72.29699785","2","","1365005966","1"
"5","43.70105311,-72.28963051","3","","1364835664","1"
"6","43.7044068,-72.28971584","3","","1364847633","1"
"7","43.70509059,-72.29282176","2","","1365009203","1"
"7","43.70508503,-72.28998507","2","","1364925647","2"
"7","43.70675529,-72.28728531","2","","1365027003","1"
"5","43.70460768,-72.29552697","3","","1365181531","1"
"8","43.70443306,-72.29711671","2","","1365284846","2"
"7","43.70589876,-72.28814521","2","","1365358236","1"
"6","43.70551407,-72.2896007","2","","1365443444","2"
"7","43.70417591,-72.29706744","3","","1365616487","2"
"6","43.70450188,-72.2971835","3","","1365786541","1"
"3","43.70757846,-72.28529267","4","","1366049298","1"
"3","43.70520754,-72.29021202","4","","1366043675","1"
"7","43.70424679,-72.29701855","3","","1366224444","3"
"6","43.70513005,-72.29196685","3","","1366306241","4"
"9","43.70578178,-72.28774369","1","","1366869117","1"
"6","43.70525386,-72.29094429","1","","1366995625","1"
"6","43.70439006,-72.29698883","1","","1367257506","1"
"6","43.704172989999996,-72.29619323","2","","1367427880","1"
"5","43.70752624,-72.28644491","3","","1367603665","1"
"6","43.70526124,-72.2914827","2","","1367862790","1"
