"hour","location","rate","null","resp_time","social"
"","","","3","1364122433",""
"","","","43.70470212,-72.2884963","1364122432",""
"","","","8","1364122435",""
"","","","1","1364122437",""
"","","","43.70450324,-72.2884118","1364122435",""
"","","","1","1364122430",""
"7","43.70751491,-72.28694759","1","","1364409303","1"
"8","43.70751491,-72.28694759","1","","1364409301","1"
"8","43.70751491,-72.28694759","2","","1364501312","1"
"5","43.70751491,-72.28694759","3","","1364605379","1"
"9","43.7048376,-72.29028059","1","","1364681003","4"
"8","42.99574623,-71.51884702","1","","1364751395","1"
