"hour","location","rate","null","resp_time","social"
"","","","2","1364121450",""
"","","","3","1364121452",""
"","","","43.70700456,-72.28813458","1364121915",""
"","","","8","1364118860",""
"","","","8","1364121448",""
"7","43.70566059,-72.29130704","3","","1365008415","3"
"7","43.70660193,-72.28760155","2","","1364856152","2"
"8","43.70546977,-72.29153142","2","","1364925646","2"
"7","43.70566059,-72.29130704","3","","1365008315","3"
"8","43.70619631,-72.28823087","1","","1365104815","4"
"8","43.70549825,-72.29185536","2","","1365181926","2"
"8","42.36112482,-71.07113958","2","","1365356675","2"
"8","43.50783677,-72.13449058","2","","1365268673","1"
"8","43.70560342,-72.29137243","2","","1365440914","2"
"8","43.70565468,-72.29149208","3","","1365614168","1"
"7","43.70565715,-72.2915844","2","","1365527176","1"
"7","43.67572307,-72.27196101","3","","1365706395","1"
"8","43.70234665,-72.28813935","3","","1365787617","2"
"9","43.70462998,-72.28974619","2","","1365874566","2"
"6","43.70574465,-72.29162099","3","","1366134316","1"
"8","43.70462998,-72.28974619","3","","1365967984","1"
"7","Unknown","2","","1366045632","2"
"6","43.70584294,-72.29136839","1","","1366134304","1"
"7","43.70567669,-72.29136528","2","","1366220239","2"
"8","43.70557117,-72.29109324","2","","1366305939","1"
"8","44.26410768,-69.80665528","2","","1366597115","1"
"8","43.70554879,-72.2916246","2","","1366995764","1"
"8","43.70546467,-72.29120503","2","","1367431226","1"
"6","43.70548852,-72.2911601","2","","1367605716","1"
"7","43.70873911,-72.28427701","3","","1368212318","1"
