"hour","location","rate","null","resp_time","social"
"","","","4","1364122197",""
"","","","9","1364118525",""
"","","","2","1364122201",""
"","","","3","1364122199",""
"7","43.70371584,-72.2909896","3","","1365011428","2"
"","","","1","1364605870",""
"11","43.7032657,-72.29045059","1","","1364933461","1"
"7","42.35025658,-71.07655539","2","","1364759632","1"
"9","43.70383924,-72.29026049","2","","1364838953","2"
"7","43.70584223,-72.29075364","2","","1365096860","1"
"7","43.70515516,-72.28939444","2","","1365442539","1"
"7","43.70515516,-72.28939444","3","","1365291575","1"
"6","43.70584223,-72.29075364","2","","1365178523","2"
"10","43.70515516,-72.28939444","2","","1365368646","2"
"7","43.70285908,-72.29002745","3","","1366219428","3"
"7","43.70826063,-72.28421526","2","","1365526847","1"
"7","43.70340811,-72.29061712","2","","1365616947","1"
"9","43.70635749,-72.28923654","2","","1366137318","2"
"7","43.70433336,-72.29107034","2","","1365710637","1"
"7","43.70845191,-72.28419384","2","","1365781844","1"
"7","43.7040787,-72.28808059","3","","1365877013","1"
"10","43.71713165,-72.27145544","1","","1365961445","2"
"8","43.71713165,-72.27145544","2","","1366048688","1"
"9","Unknown","3","","1366312988","1"
"7","43.70300607,-72.29026873","2","","1366394746","1"
"8","43.70587544,-72.2911665","3","","1366489538","1"
"8","Unknown","3","","1366830270","2"
"8","43.7031993,-72.2904444","2","","1366654403","1"
"7","43.70635966,-72.28846146","3","","1366753144","1"
"6","43.70608389,-72.29104393","3","","1366916286","1"
"8","43.71796947,-72.27247143","3","","1367089241","1"
"9","43.70608389,-72.29104393","2","","1367003148","2"
"8","43.70301955,-72.29020739","4","","1367173820","1"
"6","43.70374615,-72.29053936","2","","1367257918","2"
"9","43.47216071,-71.99885894","3","","1367346093","2"
"9","43.47216071,-71.99885894","2","","1367431428","1"
"9","43.70211393,-72.28994529","2","","1367602749","1"
"9","43.719082,-72.2724696","2","","1368209168","1"
"8","43.70389513,-72.29041685","2","","1367863104","1"
"9","43.70420319,-72.28854729","2","","1367774870","1"
"8","43.7089232,-72.28415444","2","","1368037023","1"
"1","43.7037874,-72.29006945","3","","1368403691","1"
"15","43.70421817,-72.28966565","3","","1368561077","1"
"4","Unknown","3","","1368994482","1"
"11","Unknown","2","","1368905011","1"
"4","Unknown","3","","1368994910","1"
"14","Unknown","2","","1369072271","2"
"9","43.70680906,-72.28749051","2","","1369239032","1"
"6","43.70450738,-72.29025958","2","","1369761216","2"
"10","Unknown","3","","1369507503","1"
"12","43.65273307,-72.24424084","2","","1369636149","2"
"12","Unknown","2","","1370287712","1"
