"hour","location","rate","null","resp_time","social"
"","","","7","1364121732",""
"","","","43.70642019,-72.28709812","1364121442",""
"","","","3","1364118462",""
"","","","43.70642019,-72.28709812","1364121444",""
"","","","3","1364121446",""
"8","Unknown","1","","1364497271","2"
"7","43.70369622,-72.29611425","2","","1364577094","2"
"7","43.7037725,-72.29602645","2","","1364670036","1"
"7","43.70400733,-72.29568279","2","","1364749412","1"
"6","43.70412701,-72.29543193","4","","1364836415","1"
"6","43.70370694,-72.29603486","4","","1364933394","1"
"0","43.70366916,-72.29604051","4","","1365009386","1"
"8","43.70403059,-72.29608355","2","","1365104458","3"
"7","43.70346806,-72.29615925","1","","1365175900","1"
"9","43.70374466,-72.29602394","2","","1365360125","1"
"10","43.70359603,-72.29619839","1","","1365277331","1"
"6","43.70524265,-72.29380967","1","","1365443593","1"
"10","43.70356543,-72.29661063","1","","1365535246","1"
"6","43.70332015,-72.29598121","2","","1365619986","1"
"8","43.70341924,-72.29629875","2","","1365702447","1"
"8","43.70368617,-72.29580241","2","","1365787950","2"
"4","43.70369666,-72.29597969","3","","1366046175","1"
"10","43.70351337,-72.29604785","1","","1365890132","1"
"8","43.70362837,-72.29609942","2","","1365972304","1"
"13","43.70370911,-72.29582755","1","","1366158674","1"
"2","43.70342539,-72.29594334","4","","1366222135","1"
"8","43.70306371,-72.29579391","2","","1366312613","2"
"6","43.70396846,-72.29555338","3","","1366403445","2"
"12","43.70378828,-72.29600636","1","","1366496654","1"
"10","43.70405707,-72.29551034","1","","1366607144","1"
"8","43.70410502,-72.29484537","2","","1366628868","1"
"5","43.70377459,-72.29617515","3","","1366651792","1"
"4","43.70371045,-72.29605661","4","","1366797803","2"
"8","43.7034689,-72.29640505","2","","1366837849","2"
"4","43.7037887,-72.29615197","3","","1366996373","1"
"8","43.70351749,-72.29606608","1","","1367306368","1"
"0","43.70354602,-72.29604776","4","","1367602272","2"
"1","43.70242394,-72.2919064","4","","1368467578","2"
"7","Unknown","2","","1368118647","2"
"5","43.70353749,-72.29596044","2","","1367875791","1"
"9","Unknown","2","","1368044002","2"
"8","43.70353749,-72.29596044","2","","1367958282","4"
"16","43.70373736,-72.29577621","2","","1368298625","2"
"9","43.7036104,-72.29599087","2","","1369330291","2"
"2","43.70363097,-72.29625958","4","","1369416689","1"
"1","Unknown","4","","1369880420","2"
