"hour","location","rate","null","resp_time","social"
"","","","1","1364121770",""
"8","43.70358976,-72.29054215","2","","1364831310","1"
"","","","3","1364121767",""
"","","","1","1364121764",""
"","","","8","1364121766",""
"","","","3","1364121768",""
"8","43.70522803,-72.28957771","2","","1364573500","2"
"7","43.70648373,-72.28839429","2","","1364399023","1"
"7","43.70646168,-72.28822731","2","","1364407217","1"
"7","43.70502111,-72.29058862","2","","1364493992","1"
"8","43.70355272,-72.29052274","2","","1364577195","2"
"8","43.70724486,-72.28721651","1","","1364673574","1"
"9","43.70490618,-72.2903464","1","","1364757190","1"
"9","43.70358976,-72.29054215","1","","1364924938","2"
"8","43.70450379,-72.28884561","2","","1365011987","1"
"8","43.70393687,-72.29111144","2","","1365099587","1"
"8","Unknown","1","","1365185028","1"
"10","43.703672,-72.29074429","2","","1365286631","1"
"8","43.70362252,-72.29130382","1","","1365364432","1"
"7","43.70411779,-72.28816375","2","","1365444124","1"
"6","43.70364199,-72.29076278","2","","1365795279","1"
"8","Unknown","1","","1365535634","3"
"6","43.70474513,-72.28856577","3","","1365616173","1"
"9","43.70364199,-72.29076278","2","","1365877348","1"
"9","Unknown","2","","1365711227","1"
"5","43.70350683,-72.28981599","2","","1366048126","1"
"7","43.70348086,-72.29159422","3","","1365964259","1"
"8","43.70383103,-72.28971738","3","","1366136289","1"
"7","43.71269528,-72.28398406","2","","1366221839","1"
"7","43.70378332,-72.29056908","2","","1366317551","1"
"7","43.70370463,-72.29071195","3","","1366387553","1"
"7","43.70381863,-72.2910568","2","","1366476278","2"
"8","43.70389767,-72.29092793","1","","1366563614","2"
"7","43.70366774,-72.29147122","2","","1366652124","2"
"8","43.70378422,-72.29157491","3","","1366733810","1"
"9","43.70381392,-72.29084126","2","","1366995781","2"
"5","43.70381392,-72.29084126","4","","1366956984","2"
"7","43.70380827,-72.290783","2","","1367173445","1"
"6","43.70373463,-72.29053354","3","","1367254817","1"
"6","43.70376088,-72.29035391","3","","1367341859","1"
"8","43.70358001,-72.29105521","1","","1367431182","1"
"8","Unknown","2","","1367515650","1"
"9","43.70360319,-72.29109274","2","","1367604039","1"
"8","43.70397531,-72.28989529","2","","1367773815","1"
"7","43.70369577,-72.29064258","1","","1367860622","1"
"6","Unknown","2","","1368386000","1"
"8","43.70534496,-72.29049134","2","","1367948842","2"
"10","43.70317722,-72.28939878","2","","1368300278","2"
"13","43.70339979,-72.28817654","2","","1368471945","1"
"8","43.70355342,-72.29047722","3","","1367691094","1"
"9","43.70391463,-72.28988644","3","","1368552676","1"
"10","43.70444528,-72.29050901","2","","1368034599","1"
"10","43.70317722,-72.28939878","2","","1368290020","2"
"9","43.70345091,-72.29056717","1","","1368207248","1"
"9","43.70374249,-72.29050587","2","","1368641232","1"
"13","43.70633473,-72.28883226","1","","1368994773","1"
"8","Unknown","1","","1368818768","1"
"8","Unknown","2","","1368904464","1"
"9","Unknown","1","","1369073643","1"
"7","Unknown","1","","1369152715","1"
"7","Unknown","1","","1369152726","2"
"6","43.70708133,-72.28751809","2","","1369240942","1"
"1","43.68753666,-72.29250241","1","","1369848591","1"
"6","43.70675104,-72.28740962","2","","1369349347","1"
"13","43.70372826,-72.29097234","1","","1369417056","1"
"13","43.70390249,-72.29064079","3","","1369677601","1"
"1","43.68753666,-72.29250241","4","","1369842295","1"
"8","43.70392831,-72.29052029","1","","1369504990","1"
"9","43.70395666,-72.29093617","1","","1369590146","1"
"11","43.68753666,-72.29250241","3","","1369761592","1"
