"hour","location","rate","null","resp_time","social"
"","","","43.70478674,-72.28850478","1364121563",""
"","","","43.70478674,-72.28850478","1364121569",""
"","","","3","1364121466",""
"","","","43.70636947,-72.28703152","1364118634",""
"","","","3","1364121463",""
"","","","3","1364121464",""
"8","43.70324769,-72.29030293","1","","1365015406","1"
"8","Unknown","1","","1364527434","1"
"8","Unknown","1","","1364527435","1"
"8","43.70240618,-72.28732915","1","","1364577030","1"
"6","42.94097068,-72.52796872","2","","1364719665","1"
"7","42.94097068,-72.52796872","2","","1364752710","1"
"8","43.70216667,-72.2862385","1","","1364835768","1"
"7","43.70216667,-72.2862385","2","","1365015405","1"
"8","43.70294473,-72.28772261","2","","1365285719","1"
"8","Unknown","3","","1365358534","2"
"4","43.70294473,-72.28772261","2","","1365285718","1"
"6","43.70294473,-72.28772261","2","","1365285722","1"
"8","Unknown","3","","1365451870","1"
"9","43.70260784,-72.28705135","1","","1365566407","1"
"8","43.70259206,-72.28665032","1","","1365621861","1"
"7","43.70279814,-72.28714674","1","","1365708296","1"
"8","43.70266979,-72.28673413","1","","1365784663","1"
"4","43.69971813,-72.29088714","2","","1365889181","1"
"7","43.70257447,-72.28689498","1","","1366132498","2"
"8","40.7742808,-73.96073797","1","","1365959063","2"
"7","43.70218934,-72.28761108","1","","1366047862","1"
"7","43.70249632,-72.286166","1","","1366216771","1"
"4","43.70263246,-72.28706428","3","","1366306944","1"
"8","43.70254488,-72.28677668","1","","1366394493","1"
"6","41.23064284,-73.0728831","2","","1366495761","1"
"8","41.23064284,-73.0728831","1","","1366650466","1"
"7","41.23064284,-73.0728831","1","","1366750739","1"
"8","Unknown","1","","1366999502","1"
"7","41.23064284,-73.0728831","1","","1366862541","1"
"5","43.70652524,-72.28699002","2","","1367255510","1"
"6","43.70333152,-72.28938876","3","","1367431383","1"
"9","43.70303414,-72.28449439","1","","1367524792","1"
"6","43.70451244,-72.28888935","2","","1367603949","1"
"9","Unknown","1","","1367863266","1"
