"hour","location","rate","null","resp_time","social"
"","","","1","1364121437",""
"","","","1","1364118985",""
"","","","1","1364121435",""
"","","","1","1364121434",""
"","","","1","1364118978",""
"","","","1","1364122002",""
"5","43.70413881,-72.29529625","3","","1364490076","2"
"6","43.70508892,-72.29181124","2","","1364632052","1"
"4","41.55404933,-73.03993472","3","","1364753475","4"
"5","43.70607312,-72.28941569","3","","1365182334","2"
"5","42.99131275,-89.56850017","3","","1365557660","2"
"8","Unknown","1","","1365705586","1"
"5","43.70825863,-72.28467568","3","","1365790160","2"
"6","43.70684315,-72.28727941","2","","1365967467","1"
"7","43.70684315,-72.28727941","1","","1366046298","1"
"6","43.70684315,-72.28727941","1","","1366132595","1"
"4","43.70611494,-72.28821312","3","","1366222570","1"
"6","Unknown","2","","1366574628","1"
