"null","hour","location","rate","resp_time","social"
"","7","Unknown","3","1364805198","1"
"1","","","","1364118938",""
"1","","","","1364122315",""
"3","","","","1364122313",""
"3","","","","1364122313",""
"43.70409141,-72.28921646","","","","1364122316",""
"1","","","","1364122311",""
"","8","43.70690704,-72.28632015","1","1364368981","1"
"","8","43.70690704,-72.28632015","1","1364412531","1"
"","8","43.700133459999996,-72.29134407","2","1364490025","1"
"","7","43.70705849,-72.28616283","2","1364577973","1"
"","8","43.70693078,-72.2855125","1","1364922575","1"
"","8","43.70683851,-72.2861567","1","1364836368","1"
"","8","43.70708116,-72.28593836","2","1365009212","1"
"","7","43.707185,-72.28624139","2","1365095910","2"
"","8","43.70694223,-72.28568637","1","1365440439","3"
"","5","43.70338929,-72.29081561","2","1365265797","2"
"","7","43.70703099,-72.28607976","2","1365182061","2"
"","7","43.7039954,-72.29034683","2","1365357577","3"
"","5","43.70341822,-72.29023895","2","1365270119","2"
"","8","43.70668606,-72.28578397","1","1365528176","2"
"","7","43.70312765,-72.29053296","2","1365872942","3"
"","8","43.70659889,-72.2854301","1","1365786884","2"
"","8","43.70713935,-72.28571073","1","1365616706","2"
"","7","43.70698335,-72.28582114","1","1365701717","2"
"","7","43.7027651,-72.2899934","2","1366218273","3"
"","7","43.70154751,-72.29133289","2","1366132327","2"
"","8","43.70285468,-72.29111293","1","1365959643","2"
"","8","43.70154751,-72.29133289","1","1366046191","2"
"","6","43.70692759,-72.28739722","3","1366305623","2"
"","8","43.70712619,-72.28587268","1","1366393248","3"
"","3","43.7067805,-72.28550931","2","1366650094","3"
"","9","43.70703558,-72.28588339","1","1366735729","3"
"","7","43.70686641,-72.28708456","2","1366908737","4"
"","8","43.70693121,-72.28557612","1","1366995704","2"
"","6","43.70676257,-72.28579269","2","1367255219","4"
"","7","43.70710107,-72.28593983","2","1367222081","3"
"","6","43.70696863,-72.28601686","2","1367429845","4"
"","3","43.70101204,-72.28677708","2","1367400572","4"
"","8","43.70703204,-72.28609341","1","1367514213","4"
"","8","43.70690988,-72.28699822","1","1367602890","4"
"","11","43.70714923,-72.28728168","1","1368384705","2"
"","6","43.70743755,-72.28620149","2","1368727200","1"
"","10","43.70705135,-72.28595115","1","1368208260","2"
"","8","43.70725489,-72.28618348","1","1367861530","1"
"","9","43.70701211,-72.28611727","2","1368298243","3"
"","8","43.70120165,-72.28667414","2","1368561198","1"
"","10","43.70670191,-72.28568105","2","1368466407","2"
"","9","43.7038516,-72.28886243","2","1368641343","2"
"","6","43.7069985,-72.28761352","2","1368810309","4"
"","6","43.7069985,-72.28761352","2","1368812510","4"
"","13","43.70680509,-72.28557325","1","1368900165","4"
"","12","43.70669977,-72.28545979","1","1368985949","2"
"","12","43.70708213,-72.2859049","1","1369072767","2"
"","11","43.70693856,-72.28579217","1","1369245683","2"
"","11","Unknown","3","1369421692","2"
"","14","43.70730115,-72.28615193","1","1370024033","1"
"","11","43.7070687,-72.2859182","2","1369501546","1"
"","1","43.70689977,-72.28714289","4","1369852298","4"
"","9","43.70709334,-72.28524117","2","1369588862","1"
"","6","43.70695189,-72.285625","2","1369674768","2"
