"hour","location","rate","null","resp_time","social"
"","","","7","1364121451",""
"","","","8","1364121453",""
"","","","43.70499676,-72.28851178","1364121454",""
"","","","43.70639306,-72.2870578","1364118745",""
"","","","43.70499676,-72.28851178","1364121783",""
"7","43.70509271,-72.28680761","2","","1364579514","1"
"7","43.70509271,-72.28680761","2","","1364584946","1"
"5","43.70503113,-72.28694162","2","","1364669916","1"
"9","43.70481251,-72.28700429","2","","1364927062","1"
"7","","2","","1364837967","1"
"7","43.70516844,-72.28680259","3","","1364811748","1"
"6","43.7049256,-72.28632081","2","","1365009105","1"
"8","43.70500868,-72.28667785","1","","1365096620","1"
"6","43.70491826,-72.28692692","2","","1365178084","3"
"6","43.70491826,-72.28692692","2","","1365182784","3"
"5","43.7044612,-72.28747684","1","","1365357558","1"
"8","43.70506289,-72.28675801","2","","1365281229","2"
"6","43.70491146,-72.28659003","1","","1365519406","2"
"6","43.70491146,-72.28659003","1","","1365528361","1"
"6","43.70498939,-72.28699053","3","","1365627860","3"
"7","43.70460577,-72.28671025","2","","1365789746","2"
"9","43.70511041,-72.28702345","1","","1365704117","2"
"8","43.70545641,-72.28669002","1","","1366043982","1"
"8","43.70545641,-72.28669002","1","","1366046127","1"
"8","43.70498624,-72.28674182","1","","1366214236","1"
"7","43.70506325,-72.28676239","2","","1366308570","2"
"4","43.70507579,-72.28712698","3","","1367262861","1"
"7","43.70497161,-72.28670851","1","","1366566999","1"
"7","43.70494497,-72.28655078","2","","1366739431","1"
"6","43.70494282,-72.28700713","2","","1366653367","1"
"6","43.70238157,-72.28744885","2","","1367427602","1"
"9","43.70203484,-72.28768856","1","","1367517117","1"
"9","43.70508371,-72.28699762","1","","1367603986","1"
"7","43.70488631,-72.28725883","1","","1367862796","1"
"8","43.70513216,-72.28744864","1","","1368122572","1"
