"hour","location","rate","null","resp_time","social"
"","","","1","1364123064",""
"","","","3","1364123067",""
"","","","8","1364118489",""
"10","43.70350954,-72.28608081","2","","1364675864","1"
"","","","8","1364123065",""
"","","","8","1364123069",""
"6","Unknown","2","","1364354148","1"
"6","43.70227295,-72.28989198","1","","1364418528","1"
"6","Unknown","2","","1364403998","1"
"10","43.70528743,-72.29155419","3","","1364499508","1"
"6","43.70350954,-72.28608081","3","","1364578978","1"
"8","43.7029938,-72.28634884","2","","1364939166","1"
"7","43.70203852,-72.28684389","3","","1364755705","1"
"6","43.70326445,-72.28627025","2","","1364834967","1"
"6","43.70237031,-72.28787598","3","","1365010638","1"
"8","43.70301411,-72.28619057","2","","1365104677","1"
"6","43.70342734,-72.28638739","3","","1365185713","2"
"6","43.04882397,-71.72452648","3","","1365298056","1"
"8","43.70278047,-72.28749202","1","","1365389717","1"
"10","43.70343873,-72.28651243","1","","1365998844","1"
"6","43.70370174,-72.28680811","2","","1365616151","1"
"8","43.70731779,-72.2868045","1","","1365590048","1"
"7","43.70314121,-72.28659035","1","","1365733247","1"
"8","43.70360138,-72.28652466","1","","1365917947","1"
"7","43.70396504,-72.28927469","3","","1366085547","1"
"9","43.70322923,-72.28831716","2","","1366139752","1"
"5","43.70430223,-72.29046297","3","","1366265178","2"
"8","43.70430223,-72.29046297","2","","1366317241","2"
"7","43.70518194,-72.28800233","1","","1366489241","1"
"9","43.70354857,-72.28679727","1","","1366926953","1"
"6","43.70406215,-72.28755806","1","","1366575687","1"
"0","43.7052687,-72.28811786","4","","1366698638","1"
"8","43.70434734,-72.28679491","1","","1366758117","1"
"8","43.70440204,-72.29052256","1","","1366851436","1"
"0","43.7052687,-72.28811786","4","","1366652271","1"
"7","43.70295661,-72.28995533","2","","1367022674","1"
"6","43.70708811,-72.28767562","2","","1367399820","1"
"8","43.70502255,-72.28804551","1","","1367602871","1"
"7","43.70531628,-72.29101359","2","","1368640174","1"
"8","43.7037094,-72.28660102","1","","1367745585","1"
"15","43.70527997,-72.2896421","1","","1368307369","1"
"1","43.70454326,-72.2895076","1","","1368136731","1"
"8","43.7049437,-72.28880281","1","","1367898809","1"
"12","43.70454326,-72.2895076","1","","1368136740","1"
"9","43.70573461,-72.28972765","2","","1368997303","2"
"1","43.70447785,-72.29155849","3","","1369316386","3"
