"hour","location","rate","resp_time","social"
"5","43.70351572,-72.28960285","2","1364860260","2"
"8","43.70600279420614,-72.28865772485733","2","1364355894","1"
"6","43.702606027945876,-72.2895226534456","2","1364576032","2"
"5","43.704553940333426,-72.28965441696346","2","1364401054","2"
"6","43.702606027945876,-72.2895226534456","2","1364580451","2"
"4","43.702606027945876,-72.2895226534456","3","1364493803","2"
"10","43.70693783,-72.28746398","1","1364686737","2"
"10","43.70295231,-72.29014782","1","1364714907","2"
"8","Unknown","2","1364671875","2"
"9","43.7025121,-72.28898705","2","1364784492","2"
"4","43.70348925,-72.28865624","3","1364925471","2"
"6","43.70437719,-72.28801048","2","1364838786","3"
"5","43.7052441,-72.29056065","2","1365006129","2"
"5","43.70572549,-72.29076597","2","1365008860","2"
"7","43.70348925,-72.28865624","2","1364936080","1"
"5","43.7035497,-72.28791333","2","1365098328","2"
"5","43.70385188,-72.28719243","2","1365094632","1"
"5","43.705932260490954,-72.28973739780486","2","1365122657","2"
"3","43.705437518656254,-72.29089770466089","2","1365177634","2"
"4","43.705850495025516,-72.29117003269494","3","1365440447","2"
"3","43.70550360996276,-72.29067164473236","2","1365205444","2"
"3","43.70563575066626,-72.28763739578426","3","1365184568","2"
"10","43.70573427993804,-72.2908112872392","1","1365293834","2"
"7","43.703208435326815,-72.29068145155907","2","1365393707","2"
"5","43.703053118661046,-72.28771945461631","2","1365702899","1"
"6","43.70414901059121,-72.28755131363869","2","1365523502","2"
"6","43.70562917087227,-72.29097867384553","2","1365614476","1"
"7","Unknown","2","1365562567","2"
"5","43.70402131229639,-72.28727504611015","2","1365699407","1"
"6","43.70402202475816,-72.28741058148444","3","1365789164","2"
"5","Unknown","3","1365738921","4"
"4","43.70289662852883,-72.28997561149299","2","1366048591","1"
"9","Unknown","1","1365884798","1"
"6","43.70286871679127,-72.2912011295557","2","1365824279","3"
"4","Unknown","2","1366071463","3"
"0","43.70402395259589,-72.28720606304705","4","1366221097","3"
"6","43.70423106942326,-72.28727990761399","3","1366304478","2"
"6","43.703944282606244,-72.28723866865039","2","1366387136","1"
"7","43.702826388180256,-72.29127505794168","2","1366501672","2"
"2","43.704183753579855,-72.28855940513313","4","1367251158","1"
"5","43.70403212495148,-72.28753563947976","3","1366653291","2"
"0","43.7041941890493,-72.28825522586703","4","1366738899","4"
"13","Unknown","1","1366836409","1"
"4","43.7066536070779,-72.28823712095618","2","1366918817","1"
"0","Unknown","4","1367341239","4"
"2","43.704183753579855,-72.28855940513313","4","1367258086","2"
"5","43.703525606542826,-72.28842906653881","1","1367517341","1"
"5","43.70568541344255,-72.29091857559979","2","1367557273","1"
"9","43.7037179293111,-72.28826511651278","2","1368122045","2"
"8","43.705528462305665,-72.29130095802248","3","1367611471","2"
"3","43.70550696272403,-72.28745399974287","2","1367863301","2"
"4","29.90291280671954,-90.0272652413696","3","1368384498","4"
"1","Unknown","3","1368064197","2"
"5","43.705429220572114,-72.29127271100879","3","1367945878","2"
"5","33.64048871677369,-84.43573283962905","3","1368293632","4"
"12","43.70381080079824,-72.28889644145966","1","1368640988","1"
"2","43.70531283784658,-72.28896860964596","2","1368835439","2"
"10","43.705568527802825,-72.29081480763853","1","1368992090","1"
"10","43.70494906324893,-72.29194141924381","1","1368911214","1"
"2","Unknown","2","1369162378","2"
"2","Unknown","2","1369331946","2"
"10","43.70550733990967,-72.2909749019891","1","1369681739","1"
"8","Unknown","2","1369418197","2"
"10","43.705530599690974,-72.29089292697608","1","1369930366","1"
"16","Unknown","1","1369546468","1"
"1","Unknown","3","1369874568","3"
"4","Unknown","2","1369793006","2"
"9","41.09053309075534,-73.45103331841528","1","1370059444","1"
"15","29.902795627713203,-90.02727152779698","1","1370477174","1"
"19","29.902878901921213,-90.02735710702837","1","1370208645","1"
"1","29.900103276595473,-90.0295245833695","3","1370152837","3"
"13","29.902872280217707,-90.02744721248746","1","1370387882","1"
"5","29.899868331849575,-90.02978006377816","2","1370648801","3"
