"hour","location","rate","null","resp_time","social"
"","","","43.70632816,-72.28699831","1364121907",""
"","","","1","1364118720",""
"","","","10","1364121909",""
"","","","8","1364121905",""
"","","","1","1364122025",""
"8","43.70723501,-72.29347145","2","","1364369453","1"
"7","43.70707642,-72.29320008","3","","1364577385","1"
"8","43.70834437,-72.28451848","2","","1364407401","1"
"7","43.70641389,-72.29107117","2","","1364490036","1"
"8","43.70709166,-72.29282882","2","","1364669673","1"
"7","43.70727019,-72.29252239","2","","1364749224","1"
"7","43.70662942,-72.29294684","2","","1364839233","1"
"8","43.70675024,-72.28772427","3","","1365012102","2"
"8","43.70694471,-72.29285091","2","","1364926201","2"
"8","43.70699087,-72.29313158","2","","1365096782","2"
"8","43.70719722,-72.29290575","2","","1365181768","1"
"7","43.70706246,-72.29325032","2","","1365281379","1"
"9","43.70620445,-72.29116858","2","","1365379462","1"
"7","43.70720645,-72.29347981","2","","1365443890","1"
"7","43.70713201,-72.29322051","2","","1365526833","1"
"8","43.7069528,-72.2931724","2","","1365618300","2"
"8","43.707168,-72.29310824","2","","1365872591","2"
"9","43.70605802,-72.28864087","2","","1366221916","1"
"8","43.70719648,-72.29309611","2","","1366572609","1"
"8","43.70900376,-72.2843243","2","","1366654084","2"
"7","43.70870796,-72.28461773","2","","1366927281","1"
"6","43.70720485,-72.29317244","2","","1366996465","2"
"8","Unknown","2","","1367561973","2"
"9","43.7071293,-72.29291473","1","","1367605100","2"
"12","43.70731664,-72.29342927","2","","1368725855","1"
"9","43.70716858,-72.29328296","1","","1367777707","2"
