"hour","location","rate","null","resp_time","social"
"","","","8","1364118808",""
"","","","43.70633605,-72.28701846","1364121427",""
"","","","1","1364121429",""
"","","","1","1364121902",""
"","","","43.70633605,-72.28701846","1364121426",""
"5","43.70291176631045,-72.28730966605328","3","","1364580179","1"
"4","43.70267879651378,-72.29108858322432","3","","1364594633","1"
"9","43.706964558218715,-72.29087324241945","1","","1364667196","1"
"2","43.70706300122456,-72.29071133138713","3","","1364751793","2"
"5","43.70710977403523,-72.29060104667536","2","","1364838925","1"
"3","43.70338315129848,-72.2868059778217","3","","1364928254","2"
"4","43.703158651028865,-72.2870008394822","4","","1365012262","1"
"3","43.70713554237899,-72.29075818191895","3","","1365113014","1"
"6","43.70724971989739,-72.29065322458139","2","","1365184956","2"
"10","42.370239251465904,-71.10342783989697","1","","1365361503","1"
"7","Unknown","2","","1365284437","1"
"3","43.708982659046605,-72.2843149049884","4","","1365444141","1"
"5","43.70714428609825,-72.29067048599494","2","","1365530500","1"
"3","43.70321966184834,-72.2876130893634","3","","1365616784","1"
"3","43.707237451704,-72.29060946718205","4","","1365708095","1"
"8","43.70729028288569,-72.29073884084035","2","","1365874268","2"
"6","43.70719365486746,-72.29071570807986","2","","1365962610","1"
"5","43.707216948298175,-72.29069947820092","2","","1366221725","2"
"6","43.70394738046085,-72.289129704774","1","","1366311631","1"
"7","43.707155363146875,-72.29064042453753","1","","1366485433","3"
"3","43.70730819178383,-72.29083098682922","4","","1366563928","3"
"7","43.70752456576272,-72.29012686100621","2","","1366653870","2"
"4","43.70383361977115,-72.28747730662586","3","","1366835315","3"
"8","Unknown","1","","1367202485","1"
"4","Unknown","2","","1367446233","3"
"8","43.70714137897134,-72.29071016037413","2","","1367604104","1"
"11","43.70578575320415,-72.28875349174373","1","","1368216604","1"
"9","43.70377306642512,-72.28776140116048","1","","1368472097","1"
"5","Unknown","2","","1367866912","2"
"15","Unknown","2","","1368380296","4"
"11","43.70809230725667,-72.28412694395998","1","","1368208881","1"
"10","43.707177072888065,-72.29092730930216","1","","1367704874","1"
"4","43.70565234028792,-72.28963802288838","2","","1367949176","1"
"15","43.64049900762078,-72.21764057956567","2","","1368413613","4"
"15","43.70721291407551,-72.29065928006904","1","","1368899703","1"
"3","43.70717475496306,-72.29062391735162","2","","1368985257","2"
"15","43.70542558639555,-72.28802614647891","1","","1369159540","2"
"5","43.70705546477196,-72.29062002318801","2","","1369382161","2"
"9","43.70510624689851,-72.29518489609907","1","","1369616411","2"
"7","43.70722963681916,-72.29095809155727","1","","1369939937","1"
"7","43.707175423533876,-72.29072460503018","1","","1369986788","1"
