"hour","location","rate","null","resp_time","social"
"","","","12","1364118586",""
"","","","43.70633881,-72.28694599","1364118583",""
"","","","43.70655968,-72.28710482","1364122140",""
"","","","2","1364122403",""
"","","","4","1364122138",""
"","","","2","1364122405",""
"","","","1","1364122139",""
"","","","1","1364122407",""
"","","","43.70493909,-72.28852976","1364122137",""
"","","","5","1364122409",""
"","","","1","1364122407",""
"","","","2","1364122135",""
"9","43.70607141,-72.28867039","1","","1365024917","1"
"6","43.70641892,-72.29107603","4","","1364517556","1"
"7","43.6323532,-72.31687088","2","","1364517555","1"
"7","43.70633345,-72.29084334","2","","1364580051","1"
"7","43.70633345,-72.29084334","3","","1364590897","4"
"9","43.70617004,-72.29083553","2","","1364671905","4"
"6","43.70677201,-72.29138349","2","","1364937127","1"
"7","43.70631987,-72.29102945","2","","1364806097","2"
"8","43.70644324,-72.28839048","2","","1364838750","1"
"6","43.70613594,-72.29081044","3","","1365104439","1"
"9","43.70610429,-72.29075771","1","","1365188674","1"
"10","43.70620136,-72.29091932","2","","1365278556","1"
"7","43.70613935,-72.29098339","3","","1365443328","1"
"10","43.70618738,-72.29054297","2","","1365930800","4"
"9","43.70622719,-72.29042601","3","","1365536848","1"
"10","Unknown","1","","1365754466","1"
"6","43.70597871,-72.28908972","2","","1365789599","1"
"5","43.70621814,-72.29075864","3","","1365779162","1"
"9","43.70619094,-72.29054811","3","","1365884075","1"
"9","43.70306598,-72.29015459","2","","1365980465","1"
"7","Unknown","2","","1366250463","1"
"9","43.70334641,-72.28788749","2","","1368486586","1"
"5","43.70554093,-72.29083252","4","","1369591651","1"
