"hour","location","rate","null","resp_time","social"
"","","","2","1364118397",""
"","","","Unknown","1364122129",""
"","","","8","1364122131",""
"","","","Unknown","1364122128",""
"7","43.7039835,-72.28589738","2","","1364577594","1"
"10","43.70397289,-72.28593403","1","","1364674517","1"
"8","43.70394481,-72.28581948","2","","1364762272","1"
"10","43.70394481,-72.28581948","1","","1364932373","1"
"7","43.70394481,-72.28581948","3","","1364837484","1"
"8","43.70377722,-72.28783656","2","","1365106092","1"
"6","Unknown","2","","1365486465","1"
"6","Unknown","2","","1365486463","1"
"8","Unknown","2","","1365534605","1"
"8","43.70367091,-72.28590427","2","","1365616555","1"
"7","43.70389958,-72.28580745","1","","1365707874","1"
"7","43.70525445,-72.2884545","3","","1365792888","1"
"8","43.70495742,-72.28768275","1","","1366655156","1"
"6","43.70429654,-72.28590964","3","","1368383532","1"
