"hour","location","rate","null","resp_time","social"
"","","","1","1364118620",""
"","","","1","1364121814",""
"4","43.70413216,-72.28586105","3","","1364838960","1"
"","","","43.70634108,-72.2870727","1364121451",""
"","","","1","1364121453",""
"5","43.70655446,-72.28713909","4","","1364503040","2"
"5","43.70754161,-72.28527106","3","","1364580286","1"
"9","43.70389316,-72.28575202","1","","1364760336","1"
"5","43.70435602,-72.28669392","2","","1365008872","1"
"7","43.70403288,-72.28595896","2","","1365102033","2"
"5","43.70475035,-72.28638803","2","","1365181232","1"
"3","43.70586093,-72.28868897","3","","1365444039","1"
"2","Unknown","4","","1365613248","2"
"7","43.70424431,-72.28559775","2","","1366317019","3"
"3","43.70400104,-72.28585139","4","","1366219043","1"
"6","43.70375531,-72.28604079","2","","1366394857","1"
"12","43.70387421,-72.28565294","1","","1366502332","1"
"0","43.70394816,-72.28577831","4","","1367254825","1"
"6","Unknown","1","","1367602312","1"
"3","43.70370727,-72.28600459","4","","1369243958","2"
