"hour","location","rate","null","resp_time","social"
"","","","7","1364119003",""
"","","","2","1364122085",""
"","","","3","1364122088",""
"","","","3","1364122086",""
"9","43.70386706,-72.28368428","2","","1364675277","1"
"","","","3","1364122083",""
"6","43.70675332,-72.2868274","2","","1364355785","1"
"6","43.70400696,-72.28392317","2","","1364404668","1"
"6","43.7040066,-72.28391899","2","","1364407233","1"
"7","43.70381904,-72.28413912","3","","1364493797","1"
"6","43.70392608,-72.28391071","3","","1364576704","1"
"7","43.7038505,-72.28368719","1","","1364637683","1"
"8","43.70384974,-72.28380085","2","","1364765855","1"
"7","43.70393516,-72.28368383","1","","1364934365","1"
"7","43.70371391,-72.28343209","2","","1364839221","1"
"7","43.70391766,-72.28483911","2","","1365011824","1"
"5","43.70350051,-72.28955671","2","","1365105714","1"
"7","43.70376232,-72.2840329","2","","1365183006","1"
"5","42.68157539,-84.64788235","1","","1365461427","1"
"8","43.70387324,-72.2836399","2","","1365616571","1"
"9","43.70416133,-72.28362449","2","","1365672766","1"
"8","43.70398518,-72.28358741","2","","1365788981","1"
"8","43.70404614,-72.28405349","1","","1365707361","1"
"7","43.70380812,-72.28401109","3","","1365891829","1"
"6","43.70758488,-72.28290043","3","","1366221671","1"
"7","43.70375535,-72.28381706","2","","1366053818","1"
"7","43.70354163,-72.28381072","2","","1366658429","2"
"8","43.70425769,-72.28391582","1","","1366752722","1"
"8","43.70377565,-72.28402126","3","","1367524627","1"
