"null","hour","location","rate","resp_time","social"
"","7","43.70341845,-72.29014363","2","1364837694","1"
"43.70621142,-72.28697323","","","","1364118559",""
"1","","","","1364120395",""
"43.70621142,-72.28697323","","","","1364119446",""
"8","","","","1364121767",""
"43.70621142,-72.28697323","","","","1364120891",""
"1","","","","1364121096",""
"","8","43.70459605,-72.2899188","2","1365008548","1"
"","7","43.70822031,-72.28454379","2","1364411484","1"
"","7","43.70407087,-72.28782785","2","1364411484","1"
"","8","43.70430713,-72.29029683","2","1364609263","1"
"","6","43.70647211,-72.28802604","2","1364609267","1"
"","8","43.70291316,-72.28943322","1","1364674277","1"
"","8","43.70443854,-72.2860879","1","1364661437","1"
"","8","43.70268506,-72.2871776","2","1364752043","1"
"","7","43.70679334,-72.28767766","2","1364925152","1"
"","7","43.70168352,-72.28807511","2","1365096812","1"
"","8","43.70238375,-72.28772441","2","1365440429","1"
"","7","43.70173422,-72.28775943","2","1365184190","1"
"","7","43.70336268,-72.28777469","2","1365356479","1"
"","8","43.70464259,-72.28795732","2","1365273300","3"
"","8","43.70278942,-72.28658418","2","1365526923","1"
"","8","43.70278942,-72.28658418","3","1365613482","1"
"","8","43.70278942,-72.28658418","2","1365700813","1"
"","7","43.70278942,-72.28658418","2","1365786054","1"
"","6","43.70278942,-72.28658418","3","1365883255","3"
"","8","43.7050225,-72.28939767","2","1366220518","1"
"","8","43.7050225,-72.28939767","2","1366131914","1"
"","7","43.70278942,-72.28658418","3","1365964615","1"
"","8","43.7050225,-72.28939767","2","1366048098","1"
"","8","43.7050225,-72.28939767","2","1366307442","3"
"","8","43.70539179,-72.28841197","2","1366564827","1"
"","6","43.70324408,-72.28961597","3","1366735707","1"
"","8","43.70324408,-72.28961597","2","1366651287","1"
"","6","43.70324408,-72.28961597","3","1366739797","1"
"","8","43.70416259,-72.2875169","3","1367082041","1"
"","8","43.70330372,-72.2898598","2","1366998263","4"
"","8","43.70340655,-72.28873632","3","1367256438","1"
"","7","43.70160853,-72.28805517","4","1367344511","1"
"","8","43.70412157,-72.28527572","2","1367431039","1"
"","8","43.70412157,-72.28527572","1","1367517559","1"
"","10","43.70420958,-72.28780578","2","1368034760","1"
"","5","43.70321757,-72.28619493","2","1367949258","1"
"","10","43.70274793,-72.28753523","2","1368295145","1"
"","10","43.70620585,-72.28792804","2","1368730977","1"
"","10","43.70274636,-72.28946321","2","1368386897","1"
"","8","43.70290684,-72.28530452","2","1367862799","1"
"","10","43.70721373,-72.28551043","2","1368209736","1"
"","7","43.70428011,-72.28681054","2","1367782318","1"
"","7","43.70431466,-72.28543542","2","1367616212","1"
"","10","43.70345358,-72.28778708","2","1368557783","1"
"","10","Unknown","1","1369162296","1"
"","7","43.70288597,-72.29129431","2","1369855726","1"
