"hour","location","rate","null","resp_time","social"
"","","","8","1364118413",""
"","","","2","1364120311",""
"","","","43.70639796,-72.28700878","1364121002",""
"","","","9","1364119576",""
"","","","43.70639796,-72.28700878","1364122091",""
"6","43.70517864,-72.29310913","2","","1365011632","3"
"7","43.70705013,-72.28730277","2","","1364359545","4"
"7","43.70634494,-72.28951935","2","","1364847339","1"
"7","43.70584333,-72.29017652","2","","1364407488","1"
"10","43.7066424,-72.2890265","1","","1364502490","3"
"7","43.70652979,-72.28926963","1","","1364576423","1"
"8","43.70677676,-72.28902977","1","","1364671882","2"
"8","43.70678938,-72.28927705","1","","1364755756","1"
"8","43.70685259,-72.28918567","2","","1364935832","3"
"8","43.70680683,-72.28946636","2","","1365105432","1"
"7","43.70691657,-72.28849213","3","","1365195545","1"
"8","43.70649925,-72.28905413","1","","1365285449","1"
"9","43.70570732,-72.2889679","1","","1365369720","1"
"6","43.70542081,-72.29035437","2","","1365449016","1"
"8","43.70403134,-72.28895495","1","","1365562774","1"
"5","43.70687149,-72.28907564","2","","1365613501","1"
"7","43.70725639,-72.28916553","1","","1366165833","1"
"6","43.70664697,-72.28911878","2","","1365705139","4"
"5","43.70684932,-72.28899775","2","","1365790244","3"
"9","43.70680288,-72.28934208","1","","1365883019","4"
"5","43.70659283,-72.28814359","2","","1366222505","3"
"8","43.70687853,-72.28921947","1","","1365963942","1"
"8","43.70717445,-72.28666226","1","","1366315114","1"
"7","43.70697063,-72.28757551","2","","1366394227","1"
"7","43.70166778,-72.28840981","2","","1366575251","4"
"7","43.70685448,-72.28901014","1","","1366740791","1"
"7","43.70780807,-72.28439587","2","","1366653422","1"
