"hour","location","rate","null","resp_time","social"
"","","","43.70643224,-72.28718618","1364121462",""
"","","","7","1364118945",""
"","","","43.70643224,-72.28718618","1364121461",""
"","","","2","1364121789",""
"","","","43.70643224,-72.28718618","1364121464",""
"9","43.70076509,-72.2869313","1","","1364667344","2"
"8","43.70909673,-72.28432992","2","","1364493262","2"
"8","43.70065679,-72.28685874","3","","1364923227","2"
"8","43.43954867,-72.05279939","2","","1364794046","2"
"7","41.99134713,-71.27689197","2","","1364789486","1"
"8","43.44242939,-72.06891831","2","","1364838988","3"
"7","43.7078117,-72.28487208","3","","1365011679","3"
"7","Unknown","3","","1365184519","1"
"8","Unknown","1","","1365400367","1"
"8","Unknown","1","","1365400387","1"
"8","43.70749748,-72.28712595","1","","1365528022","2"
"7","Unknown","3","","1365616398","1"
"8","43.70609873,-72.28690685","1","","1366132817","1"
"4","43.70051117,-72.28678993","3","","1365977202","1"
"6","43.70892266,-72.28457671","3","","1366654234","1"
