"null","hour","location","rate","resp_time","social"
"","6","43.70410518,-72.28790447","2","1364828599","1"
"8","","","","1364118675",""
"1","","","","1364121717",""
"Unknown","","","","1364120188",""
"1","","","","1364119684",""
"","6","43.70443732,-72.28677041","2","1364349542","1"
"","6","43.70653338,-72.28661597","2","1364408319","1"
"","6","43.70421582,-72.2867684","2","1364397339","1"
"","7","43.70437389,-72.28688493","2","1364483589","1"
"","6","43.70437389,-72.28688493","2","1364493549","1"
"","6","43.70349874,-72.28440608","2","1364569842","1"
"","6","43.70414142,-72.28932127","2","1364579824","1"
"","7","","3","1364674136","1"
"","7","43.70315377,-72.28626052","3","1364758395","1"
"","6","43.70338698,-72.28924152","2","1364838888","1"
"","8","43.7058173,-72.29660835","2","1364923429","1"
"","8","43.7038194,-72.28630753","2","1365012122","1"
"","7","43.70500049,-72.28555637","2","1365105751","1"
"","7","43.70500049,-72.28555637","2","1365089888","1"
"","5","41.56429417,-73.40466456","2","1365294145","1"
"","6","43.70302172,-72.28510945","2","1365175530","1"
"","7","43.70301965,-72.2847275","2","1365184410","1"
"","5","43.70400146,-72.28561947","3","1365353379","1"
"","8","43.70661818,-72.28797185","2","1365443273","1"
"","6","43.70493208,-72.28856946","3","1365614197","1"
"","8","43.70449075,-72.28617485","2","1365534269","1"
"","7","43.70417131,-72.28591047","3","1365700388","1"
"","6","43.7041984,-72.28652356","2","1365787423","1"
"","6","43.70433801,-72.28693212","2","1366138282","1"
"","6","43.70414785,-72.28568415","1","1366049133","1"
"","6","43.70406175,-72.28602073","2","1366218171","1"
"","6","43.7040839,-72.29095577","2","1366305113","1"
"","6","43.70394475,-72.2863293","1","1366383771","1"
"","7","43.70623282,-72.28816572","1","1366653088","1"
"","8","43.70431008,-72.28573285","1","1366742526","1"
"","6","43.70392825,-72.28599485","2","1367344723","1"
"","7","43.70405908,-72.28617372","3","1367431226","1"
"","5","43.70359634,-72.28941721","2","1368467659","1"
