"hour","location","rate","null","resp_time","social"
"","","","43.70641977,-72.28711458","1364118747",""
"","","","1","1364121887",""
"","","","8","1364121890",""
"","","","43.70427927,-72.28971705","1364121889",""
"","","","1","1364121891",""
"","","","1","1364121902",""
"8","43.70714838333333,-72.2890624","1","","1364492404","3"
"8","43.707167749999996,-72.28905748333334","1","","1364578855","2"
"10","43.7069961,-72.28911515","1","","1364838336","1"
"10","43.7071966,-72.28920046666667","1","","1364675622","2"
"8","43.70699236666667,-72.28822946666666","1","","1365011198","2"
"8","43.70716975,-72.28908595","1","","1364922470","2"
"8","43.70723535,-72.28908265","2","","1365097007","2"
"6","43.70731333333333,-72.288977","1","","1365174175","2"
"6","43.70711195,-72.2887552","1","","1365274570","2"
"6","43.70726283333333,-72.2891943","2","","1365184239","1"
"6","43.707120483333334,-72.28906238333333","1","","1365354014","1"
"6","43.7069932,-72.28924686666667","1","","1365442885","1"
"9","43.70702141666666,-72.2891163","1","","1365529745","1"
"7","43.707149566666665,-72.28889988333333","2","","1365618136","1"
"4","43.7067482,-72.28869738333333","1","","1365700823","1"
"9","43.70736665,-72.28907893333333","1","","1366131628","1"
"4","43.707215033333334,-72.28899075","1","","1365786645","1"
"10","43.70730386666666,-72.28898323333334","1","","1365880916","1"
"9","43.707110916666664,-72.2889554","1","","1366047496","1"
"9","43.70732821666667,-72.2888843","2","","1366305648","1"
"7","43.70723795,-72.2891303","1","","1366736586","2"
"9","43.706983533333336,-72.28911598333333","2","","1367343961","1"
"1","43.707203316666664,-72.28909996666667","2","","1368726865","1"
