"null","hour","location","rate","resp_time","social"
"","9","43.70357146,-72.29017646","1","1364761981","1"
"6","","","","1364122237",""
"43.70629505,-72.28825598","","","","1364122241",""
"9","","","","1364122243",""
"6","","","","1364122235",""
"43.70482498,-72.2884041","","","","1364122239",""
"","7","43.70417513,-72.29017786","2","1365009543","1"
"","6","43.70665178,-72.28678516","3","1364369758","1"
"","8","43.70399272,-72.29051569","2","1364499033","1"
"","6","43.70277234,-72.28807846","3","1364440013","1"
"","7","43.70414927,-72.29076226","1","1364579306","1"
"","8","43.70411722,-72.29047127","1","1364697653","1"
"","8","43.70436634,-72.29015652","2","1364836873","1"
"","8","43.70407922,-72.29020632","1","1364926921","1"
"","9","43.70400449,-72.29016096","1","1365103284","1"
"","8","43.70405335,-72.29024681","1","1365192363","1"
"","8","43.70407347,-72.29009938","1","1365442698","1"
"","9","43.70418536,-72.29015097","1","1365535456","1"
"","8","43.70458274,-72.29070844","2","1365616115","1"
"","7","43.70464858,-72.29198064","1","1365707789","1"
"","8","43.70408869,-72.29048838","2","1365975857","1"
"","9","43.70418092,-72.29045018","1","1366570341","1"
"","8","37.32982039,-122.0375421","1","1367352010","1"
"","10","Unknown","3","1368207558","1"
"","15","43.70394194,-72.29039284","1","1368561179","1"
