"hour","location","rate","null","resp_time","social"
"","","","15","1364118941",""
"","","","1","1364122069",""
"","","","43.70499462,-72.28868604","1364122075",""
"","","","43.70499462,-72.28868604","1364122073",""
"","","","43.70499462,-72.28868604","1364122071",""
"7","Unknown","2","","1364546203","3"
"8","43.70603333,-72.28705357","1","","1364583743","1"
"8","43.70471098,-72.2906745","1","","1364695641","1"
"8","43.70428082,-72.28776631","2","","1365012097","1"
"8","43.70457417,-72.29062836","2","","1365007335","1"
"6","43.70671181,-72.28623406","3","","1364966303","1"
"6","43.70384903,-72.28732435","2","","1365184829","1"
"10","41.50578384,-71.45561789","2","","1365395364","2"
"10","Unknown","1","","1365395365","1"
"6","43.70384519,-72.28717248","3","","1365443996","1"
"8","43.70423505,-72.29046602","3","","1365526606","1"
"6","Unknown","2","","1365791870","3"
"7","43.70578547,-72.28703541","2","","1365616874","1"
"6","Unknown","2","","1366316159","1"
"8","43.70591041,-72.28826857","1","","1366167770","1"
"6","43.70808053,-72.28506786","1","","1366049005","1"
"9","43.70591041,-72.28826857","1","","1366167725","1"
"8","43.70746352,-72.28565777","1","","1366653844","1"
"4","Unknown","4","","1369847081","1"
